iter	MultiClass
0	1.506746856
1	1.423409655
2	1.351356033
3	1.289845812
4	1.237081122
5	1.190214148
6	1.148527471
7	1.110994316
8	1.077202058
9	1.047001517
10	1.01985441
11	0.9947801491
12	0.9718611741
13	0.9507579179
14	0.9312047422
15	0.9131182062
16	0.8971256875
17	0.8816614628
18	0.8669986263
19	0.8533322825
20	0.8406832683
21	0.8283263144
22	0.817231967
23	0.8068783403
24	0.7967174584
25	0.7877282978
26	0.7795720386
27	0.7717655829
28	0.7638159288
29	0.7561695276
30	0.7496580453
31	0.74287229
32	0.7373188192
33	0.7318730932
34	0.7267178122
35	0.7215332522
36	0.7164661105
37	0.7119611936
38	0.7079953031
39	0.7040451728
40	0.7003377343
41	0.6963250654
42	0.6928297288
43	0.6889376386
44	0.6860157622
45	0.6829564231
46	0.6803119647
47	0.6773019501
48	0.6749090742
49	0.6720742856
50	0.6694640482
51	0.6670587509
52	0.6649080069
53	0.6631144129
54	0.6611915246
55	0.6593792607
56	0.6576901261
57	0.655936289
58	0.6542661782
59	0.6526120383
60	0.6510295156
61	0.6497122681
62	0.6482114539
63	0.6466465474
64	0.6452601337
65	0.6440504607
66	0.6428294632
67	0.6418087672
68	0.6407894106
69	0.6396462606
70	0.6385003174
71	0.6376027777
72	0.6366703615
73	0.6357758859
74	0.6349021554
75	0.6341171926
76	0.6331601125
77	0.6325036648
78	0.6318954936
79	0.6312812177
80	0.6306458616
81	0.6299557871
82	0.6293790855
83	0.6289177395
84	0.628310759
85	0.6277860258
86	0.6273927168
87	0.6269901562
88	0.6264235701
89	0.6259764472
90	0.6253626282
91	0.6250417198
92	0.624567446
93	0.6242529921
94	0.6238626483
95	0.623537333
96	0.6231119024
97	0.622905307
98	0.6227549482
99	0.6223983395
100	0.622040731
101	0.6217170406
102	0.6213503976
103	0.6209544047
104	0.6207244536
105	0.6203971413
106	0.6201015238
107	0.6197952226
108	0.6195899851
109	0.6193479429
110	0.6191183338
111	0.6189426181
112	0.6187039095
113	0.6183310475
114	0.6180612461
115	0.6178226251
116	0.6175855863
117	0.617369742
118	0.61716417
119	0.6169381933
120	0.6167455835
121	0.616466112
122	0.6162902126
123	0.6161487527
124	0.6159618146
125	0.6157986449
126	0.6156439889
127	0.6154207852
128	0.6152109748
129	0.6150724806
130	0.6149075838
131	0.6147342599
132	0.6146030598
133	0.6144109127
134	0.6142827295
135	0.6141806544
136	0.6140169604
137	0.6138603621
138	0.6136866657
139	0.6135181674
140	0.6133828643
141	0.6131612012
142	0.6129501552
143	0.6127338815
144	0.6125391152
145	0.6124342746
146	0.6122865984
147	0.612127518
148	0.6120187541
149	0.6118892606
150	0.6117610811
151	0.6116715096
152	0.6115694519
153	0.6114554482
154	0.6113341509
155	0.6112329722
156	0.6111541107
157	0.6109916227
158	0.610923632
159	0.6108388804
160	0.6107345938
161	0.6106499166
162	0.610562681
163	0.6104276113
164	0.6103430499
165	0.6102578776
166	0.6101532713
167	0.6100168946
168	0.6098964273
169	0.6098369208
170	0.6097158262
171	0.6096233747
172	0.6094940303
173	0.6093420524
174	0.6092535207
175	0.6091708675
176	0.6091211405
177	0.6090312872
178	0.6089499617
179	0.6088520465
180	0.6088139719
181	0.6087531138
182	0.60867027
183	0.608626922
184	0.6085608539
185	0.6084942312
186	0.6083783498
187	0.6082897851
188	0.6082031145
189	0.6081308714
190	0.6080697338
191	0.608014256
192	0.6079433419
193	0.6078710891
194	0.6077541645
195	0.6076369117
196	0.6075580513
197	0.6074817704
198	0.6074264012
199	0.6073640158
200	0.6072960025
201	0.6072122575
202	0.6072045684
203	0.6071265827
204	0.6070594953
205	0.6069849968
206	0.6069140738
207	0.6068735259
208	0.6068012836
209	0.6067344705
210	0.6066742829
211	0.6066279177
212	0.6065273641
213	0.6064849407
214	0.6064073114
215	0.606318567
216	0.6062844231
217	0.6062392146
218	0.6061573836
219	0.6061172365
220	0.606084063
221	0.606016368
222	0.6059589335
223	0.6059298834
