iter	Passed	Remaining
0	7	15584
1	14	14878
2	22	14979
3	29	14879
4	36	14430
5	43	14307
6	49	14049
7	55	13887
8	62	13793
9	68	13659
10	75	13616
11	83	13764
12	89	13669
13	96	13730
14	103	13675
15	109	13568
16	116	13545
17	122	13461
18	127	13340
19	133	13198
20	139	13099
21	144	13029
22	150	12975
23	157	12953
24	163	12900
25	169	12833
26	174	12729
27	179	12658
28	186	12707
29	193	12699
30	200	12728
31	207	12738
32	215	12835
33	223	12920
34	231	12978
35	237	12965
36	244	12987
37	254	13142
38	261	13170
39	268	13169
40	276	13226
41	284	13258
42	292	13310
43	299	13322
44	306	13330
45	314	13363
46	320	13336
47	330	13426
48	337	13445
49	343	13402
50	349	13367
51	357	13384
52	367	13493
53	373	13466
54	383	13551
55	391	13590
56	398	13576
57	405	13586
58	413	13611
59	420	13601
60	427	13603
61	434	13591
62	443	13645
63	455	13785
64	463	13796
65	470	13797
66	478	13794
67	486	13820
68	494	13829
69	502	13856
70	509	13833
71	517	13848
72	524	13852
73	531	13841
74	539	13842
75	546	13837
76	554	13843
77	561	13846
78	569	13837
79	577	13858
80	585	13867
81	591	13845
82	598	13828
83	605	13805
84	611	13783
85	618	13766
86	626	13779
87	635	13810
88	642	13800
89	650	13814
90	658	13821
91	683	14179
92	695	14255
93	704	14291
94	714	14317
95	723	14356
96	731	14351
97	739	14355
98	748	14381
99	757	14384
100	766	14414
101	778	14489
102	788	14521
103	797	14547
104	806	14562
105	816	14583
106	828	14649
107	836	14660
108	845	14672
109	853	14668
110	862	14675
111	870	14679
112	880	14697
113	888	14696
114	897	14708
115	905	14705
116	912	14685
117	920	14682
118	928	14675
119	936	14666
120	943	14653
121	951	14642
122	959	14635
123	966	14627
124	974	14621
125	982	14615
126	990	14609
127	998	14595
128	1006	14598
129	1014	14588
130	1020	14561
131	1027	14539
132	1033	14509
133	1040	14489
134	1046	14462
135	1053	14435
136	1060	14423
137	1066	14394
138	1075	14404
139	1082	14387
140	1090	14376
141	1099	14391
142	1109	14413
143	1118	14413
144	1125	14401
145	1135	14417
146	1145	14443
147	1154	14451
148	1164	14466
149	1172	14462
150	1182	14483
151	1190	14477
152	1201	14502
153	1210	14504
154	1218	14503
155	1226	14498
156	1233	14480
157	1241	14475
158	1248	14455
159	1257	14458
160	1264	14446
161	1272	14439
162	1279	14423
163	1288	14419
164	1296	14420
165	1304	14409
166	1310	14388
167	1317	14364
168	1323	14341
169	1331	14332
170	1338	14312
171	1345	14300
172	1352	14280
173	1359	14264
174	1366	14248
175	1372	14226
176	1378	14199
177	1385	14180
178	1393	14174
179	1401	14169
180	1409	14166
181	1417	14156
182	1424	14146
183	1434	14158
184	1441	14138
185	1448	14128
186	1456	14116
187	1463	14110
188	1473	14114
189	1482	14125
190	1490	14116
191	1497	14105
192	1507	14111
193	1517	14128
194	1526	14127
195	1533	14114
196	1542	14116
197	1552	14125
198	1562	14138
199	1571	14147
200	1580	14144
201	1588	14138
202	1596	14130
203	1603	14121
204	1612	14117
205	1619	14104
206	1626	14090
207	1634	14081
