iter	MultiClass
0	1.494775917
1	1.402769462
2	1.327372771
3	1.263675872
4	1.210252318
5	1.163090683
6	1.124464982
7	1.089389492
8	1.060839927
9	1.033058571
10	1.007903293
11	0.9852832793
12	0.9650572665
13	0.9458968759
14	0.9304697045
15	0.915954851
16	0.9019308724
17	0.8897560963
18	0.8785513382
19	0.8676111891
20	0.8579540661
21	0.8486608983
22	0.8406253569
23	0.8327426752
24	0.8251885259
25	0.8192762683
26	0.8131225907
27	0.8085422362
28	0.8031748962
29	0.7982671749
30	0.7942950082
31	0.7900133498
32	0.7862266303
33	0.7826506473
34	0.7790913881
35	0.7755175211
36	0.7719733733
37	0.7698381306
38	0.7669309099
39	0.764742309
40	0.7619672587
41	0.7596275574
42	0.7576465678
43	0.7551413786
44	0.7527824165
45	0.751037034
46	0.749878764
47	0.7480669481
48	0.7466094664
49	0.7443662443
50	0.7424541304
51	0.7410265876
52	0.7399043724
53	0.7389961855
54	0.7375839947
55	0.7364299276
56	0.7349925366
57	0.7336623227
58	0.7328224617
59	0.7318141467
60	0.7301330323
61	0.7283510003
62	0.7274214949
63	0.7260980788
64	0.7252777592
65	0.7246642733
66	0.7237175429
67	0.7229955361
68	0.722138755
69	0.7214289007
70	0.7207959303
71	0.7199434304
72	0.7190446342
73	0.7185001522
74	0.717826946
75	0.7170683397
76	0.7163598544
77	0.7154780203
78	0.7148044915
79	0.714012128
80	0.7136736582
81	0.7130923241
82	0.7124939633
83	0.712003203
84	0.7116312872
85	0.7108346188
86	0.7100821943
87	0.7093776535
88	0.7088330936
89	0.7084350225
90	0.7075693515
91	0.7065843155
92	0.7060659708
93	0.7057264589
94	0.7053180257
95	0.7050796567
96	0.7042797748
97	0.7032053714
98	0.7028951997
99	0.7021074626
100	0.7018388882
101	0.7014270864
102	0.7006552787
103	0.7003190286
104	0.6998695797
105	0.6994254288
106	0.6986983601
107	0.6978308319
108	0.6976015228
109	0.6967514024
110	0.6964778052
111	0.6961206642
112	0.6956203774
113	0.6946780439
114	0.6940472658
115	0.6937689645
116	0.6931730429
117	0.6924645944
118	0.69199307
119	0.6912912191
120	0.690941549
121	0.6907059917
122	0.6904476412
123	0.6893698944
124	0.6892233432
125	0.68900359
126	0.6887506771
127	0.6884484858
128	0.6880352015
129	0.6879025582
130	0.6877054228
131	0.6873022213
132	0.6869777595
133	0.6865268596
134	0.6863593341
135	0.6858891477
136	0.6857350747
137	0.685091527
138	0.6849268425
139	0.6847263364
140	0.6844200536
141	0.6839993869
142	0.683792348
143	0.6834594698
144	0.6831225187
145	0.6829299813
146	0.6826989867
147	0.6825115652
148	0.6822730442
149	0.6821174695
150	0.681885095
151	0.6814755978
152	0.6809542871
153	0.6805311245
154	0.6801102532
155	0.6799433159
156	0.6794931678
157	0.6791747981
158	0.6789587224
159	0.6784607928
160	0.6778015502
161	0.6776121216
162	0.6771550702
163	0.6770000438
164	0.6765826558
165	0.6763477463
166	0.6761872524
167	0.6759687286
168	0.6753326117
169	0.6751315306
170	0.6747913158
171	0.6746123316
172	0.6743754534
173	0.674192905
174	0.6736191084
175	0.6730533844
176	0.6728711305
177	0.6727441943
178	0.6722705546
179	0.6720041928
180	0.6716018363
181	0.6709954388
182	0.6706422891
183	0.6696844924
184	0.6695250909
185	0.669174937
186	0.6690792459
187	0.6687085885
188	0.6681040356
189	0.6674928542
190	0.6673886202
191	0.6669301061
192	0.6667512105
193	0.6662559436
194	0.6656424035
195	0.6654117919
196	0.6650814608
197	0.6648826263
198	0.6646464155
199	0.664370532
200	0.6635946518
201	0.6631384444
202	0.6626303907
203	0.6621920444
204	0.6616354495
205	0.6613611022
206	0.6610102506
207	0.6608595665
208	0.6603499776
209	0.6598190563
210	0.6593329382
211	0.6589414767
212	0.6584732037
213	0.6581839081
214	0.6578099379
215	0.657755182
216	0.65723979
217	0.6570888999
218	0.656837848
219	0.6561801669
220	0.6560254107
221	0.6559167378
222	0.6558256133
223	0.6556408903
224	0.6555136536
225	0.6550707129
226	0.6547798604
227	0.6544876542
228	0.6539182546
229	0.6533062392
230	0.6531446556
231	0.6530016187
232	0.6529083083
233	0.6524705521
234	0.6523348864
235	0.6519870677
236	0.6512911748
237	0.6509950773
238	0.6506699082
239	0.6504554771
240	0.650307275
