iter	Passed	Remaining
0	142	142723
1	160	79897
2	179	59790
3	197	49172
4	211	42092
5	223	36952
6	233	33182
7	244	30329
8	256	28272
9	267	26517
10	278	25044
11	289	23808
12	299	22747
13	310	21901
14	322	21186
15	334	20582
16	345	20002
17	360	19657
18	372	19234
19	386	18943
20	398	18570
21	411	18274
22	422	17940
23	432	17595
24	442	17275
25	454	17011
26	464	16727
27	474	16456
28	483	16188
29	492	15923
30	501	15685
31	511	15474
32	520	15265
33	529	15038
34	538	14846
35	547	14659
36	557	14509
37	566	14342
38	575	14183
39	585	14060
40	594	13901
41	603	13760
42	612	13642
43	622	13529
44	631	13398
45	639	13264
46	648	13152
47	658	13053
48	667	12958
49	676	12862
50	686	12766
51	694	12664
52	703	12574
53	714	12517
54	726	12479
55	735	12399
56	746	12350
57	757	12296
58	766	12229
59	776	12159
60	786	12103
61	795	12036
62	805	11972
63	816	11938
64	825	11870
65	834	11810
66	844	11763
67	854	11704
68	865	11675
69	874	11613
70	882	11548
71	891	11495
72	901	11445
73	910	11394
74	919	11338
75	928	11290
76	938	11246
77	947	11197
78	955	11143
79	964	11096
80	973	11043
81	981	10989
82	991	10955
83	1001	10915
84	1010	10875
85	1020	10845
86	1030	10809
87	1038	10765
88	1047	10720
89	1056	10678
90	1067	10661
91	1076	10624
92	1085	10586
93	1094	10546
94	1103	10513
95	1113	10482
96	1123	10457
97	1132	10427
98	1142	10395
99	1152	10369
100	1161	10335
101	1170	10300
102	1179	10267
103	1187	10232
104	1197	10203
105	1206	10179
106	1216	10152
107	1227	10138
108	1236	10104
109	1244	10069
110	1253	10036
111	1261	10004
112	1271	9982
113	1281	9957
114	1290	9927
115	1298	9897
116	1309	9879
117	1318	9851
118	1327	9828
119	1337	9810
120	1347	9789
121	1357	9770
122	1366	9745
123	1376	9723
124	1384	9693
125	1394	9670
126	1402	9642
127	1412	9619
128	1420	9593
129	1429	9565
130	1437	9535
131	1446	9510
132	1456	9497
133	1465	9472
134	1474	9445
135	1484	9427
136	1492	9402
137	1502	9383
138	1511	9360
139	1521	9347
140	1530	9327
141	1540	9308
142	1548	9282
143	1557	9258
144	1567	9244
145	1576	9221
146	1585	9201
147	1600	9214
148	1610	9201
149	1620	9180
150	1629	9161
151	1639	9146
152	1648	9125
153	1657	9107
154	1666	9084
155	1675	9062
156	1684	9042
157	1693	9025
158	1702	9003
159	1710	8977
160	1719	8961
161	1727	8934
162	1735	8909
163	1743	8888
164	1752	8869
165	1761	8848
166	1768	8822
167	1776	8798
168	1785	8779
169	1793	8756
170	1802	8739
171	1810	8716
172	1818	8694
173	1826	8672
174	1835	8652
175	1843	8631
176	1851	8606
177	1859	8585
178	1867	8564
179	1875	8541
180	1884	8526
181	1892	8506
182	1901	8489
183	1909	8470
184	1917	8448
185	1926	8430
186	1934	8409
187	1942	8391
188	1951	8372
189	1960	8358
190	1968	8336
191	1977	8321
192	1986	8305
193	1995	8289
194	2003	8269
195	2010	8248
196	2019	8233
197	2028	8215
198	2036	8197
199	2045	8181
200	2054	8166
201	2062	8147
202	2072	8135
203	2080	8119
204	2090	8106
205	2098	8088
206	2107	8072
207	2116	8058
208	2125	8044
209	2134	8030
210	2143	8013
211	2152	7999
212	2160	7981
213	2168	7963
214	2176	7947
215	2184	7928
216	2193	7914
217	2207	7918
218	2215	7902
219	2224	7887
220	2232	7869
221	2240	7852
222	2248	7833
223	2256	7817
224	2264	7800
225	2273	7785
226	2281	7769
227	2291	7759
228	2300	7744
229	2309	7731
230	2317	7715
231	2326	7701
232	2334	7686
233	2343	7671
234	2351	7654
235	2359	7639
236	2368	7625
237	2376	7609
238	2385	7596
239	2393	7580
240	2402	7565
241	2410	7551
242	2419	7535
243	2428	7523
244	2437	7510
245	2445	7495
246	2454	7482
247	2463	7468
248	2470	7452
249	2479	7438
250	2488	7426
251	2496	7410
252	2504	7394
253	2512	7379
254	2520	7363
255	2529	7350
256	2537	7335
257	2545	7320
258	2554	7308
259	2562	7294
260	2570	7279
261	2581	7271
262	2589	7256
263	2597	7240
264	2604	7223
265	2612	7209
266	2620	7193
267	2629	7183
268	2638	7170
269	2647	7158
270	2655	7144
271	2664	7130
272	2674	7123
